truth_id;row_numbers
8;640,2087,2396
15;440,1379,2616
16;1090,1606,2326,3792
17;485,1978,3113,3403
20;515,849,1009,1536
22;467,697,1452,2832
23;2046,2135,3473
31;34,1160,3667,4050
53;1648,3411
54;1074,2771
61;526,1097,1586,3546
64;587,2336,2624,4162
70;92,167,2017
72;762,1953,2252,4238
74;2332,3424
79;2738,2744
86;879,1504,1584,2294
90;314,2649,2928,3126
94;381,2108
98;1185,3004,3318,3730
105;1209,2507,3149,3292
108;2871,2955
112;1468,2609,4014
113;577,2909,3415,3867
119;1392,1430,1877,4052
123;2577,3629
124;1427,2925
126;1448,1861,2798,3285
128;1035,1934,2711
145;1505,3048,4051
154;1145,4010
157;1466,1619,4120
158;386,2011,3192
166;528,646,700
169;1446,1708,2008
178;76,681,4187
179;40,1872,2640
186;520,1025,1815,2280
187;3227,4081
188;754,1662,2308,3683
192;246,1758,3729
203;476,638,3634,3932
223;653,1503,2772,3957
226;1080,2003,3233,3889
227;1246,1844,3041
230;88,132,623,3780
232;1947,2259,4036,4290
243;1200,2311,3907
246;133,3804,3970
251;1193,2096,2160,3705
258;1032,1253,1777,1865
271;994,1360
285;671,1590,1771,2594
289;2288,3681,4284
290;741,3551,4064
297;6,2037,3210,4201
308;1118,2590,3061
309;1464,3952,4097,4167
313;1498,3910
326;759,4004,4090
332;1782,3564
333;165,637,1587,3590
342;2048,2491,3657
344;2094,3182
350;137,650,3456
352;641,2063,3036
354;161,268,530,4100
365;1178,1788,3511,4049
367;1377,1408,2282
368;692,2944
371;1557,2782
373;401,2297,3273
377;941,1633,2277
386;1846,2099,2310
391;2080,3449
392;969,1296,2788,4121
396;299,1286
404;2629,3655
405;2504,2717
411;99,1155,2949,3145
417;1599,3387
423;1524,1540,2241,2969
425;3023,3354,4190
435;2337,3391,4184
449;375,3369,3756
454;3,2022,3118,4128
463;1123,3109,3328,3654
478;1632,2154,3786
485;580,589,1563,1575
487;1445,1830,2293
492;2083,2452,3316,3837
495;1621,3142,3940,4000
501;1940,2948,3408
507;1556,2068,3890,4158
515;3997,4193
519;1975,3413,4289
520;1904,2142,2246
522;645,1510
530;1731,2194,3204
533;2637,4003
534;603,998,1066,3322
538;3173,3504
545;256,2036,2196,2623
547;661,731,3457
548;1043,1347,1833,3088
554;948,1299,1453
561;3740,4063
574;1626,4082
575;931,2038,3859
577;109,186,1759
583;680,1630,1937,3480
588;727,1073,2034,3719
605;64,2067,4089
606;2047,2804
607;3025,3794,4026
610;1174,2350
611;1223,2128,3568
619;226,2215,2845,3936
620;1455,2730,3810
621;2275,2606
624;244,262,973,1000
625;1566,2140
626;3104,3880
634;1957,3793
635;1256,3069,3183,4062
647;443,803,3402,3465
648;446,1275,3603
654;788,1278,2110,2174
663;490,628,1413,3429
667;27,4197
670;797,1882,2171
671;12,85,595
678;267,2130,2210,3986
680;221,663,2366,4189
681;96,1309,3844
684;1462,2475,4233
689;229,1051
691;73,2175,3078,3989
707;486,2574,3363
711;1543,1634,3960,4264
716;1146,2586,3785,3870
718;801,3070,4046
725;291,2573
730;1147,1721,2681,2996
731;529,2150,2701,3888
739;3877,4143
740;851,1028,2001,3469
742;1171,2346
747;1876,4298
753;936,2351,2454,3393
758;666,1580
762;29,1040,2838,3503
770;2341,2645
786;89,770,3331
790;1719,2791
807;755,2296,4235
809;325,1995,3816,3915
813;215,1007,4210
821;713,3600,3772
823;2437,2660,3548,3664
832;56,1239,1850,2490
841;1639,2727,3900
845;1939,2156,3420,4150
855;1014,3031
862;1346,1988,2397
868;889,926,2274
869;2271,3547,3783
872;634,672,4114
876;2911,4165
882;2199,3528
885;541,750
887;1149,2114,2151,3821
891;464,3352
900;736,1282,3076
903;583,3742,3977,3981
907;1400,3406,3815
910;1688,2325,3096,3541
912;1572,2354,3203
921;698,3458
924;251,2566,3517,4279
929;1867,3238
932;1477,1984,3975
933;3044,3417,3904
936;542,2671,2714,3903
938;1058,2446,4041
944;1023,1184,3209
954;2195,3672,4223
965;275,1749,3305
969;175,3254
982;2170,2787
984;2795,3003,3639
1005;539,2177,4174
1012;725,1203,3286,4037
1017;686,2930,2966
1020;302,751,2058,3893
1026;1049,4231
1028;1047,1512,1810,3912
1030;298,1463,1667,1707
1032;58,3982
1035;1614,2755,3869,3896
1036;154,2029
1039;656,1740,3519,3775
1042;765,2179,3475
1049;1113,2575
1063;3039,3243,3272,4061
1066;1794,4286
1071;1687,1705
1082;1187,1604
1087;756,3271,4164
1089;778,2518
1092;2931,2965,3500,3951
1098;1955,4303
1105;1382,1906
1111;1657,2388,2739
1119;894,1078
1127;1122,2220
1130;1204,1834,2806,4300
1134;749,1077,2357,2471
1136;2191,2291,3248,3561
1137;1019,3335,3828
1143;660,922
1145;552,970,2720
1153;642,2672,2677
1155;153,1036
1158;348,900,1315,3165
1160;719,3382
1172;2181,2317,2662
1173;1247,3863
1176;1542,2480,3582,4113
1179;3438,3562
1189;2324,2830
1194;261,3107
1205;786,1225,1305,2349
1208;457,1873,2979
1212;2732,4027
1227;122,892,928,1499
1233;980,1948
1248;626,3336
1252;2467,3954
1254;743,2298,2465,3694
1261;2630,3163
1269;1031,1658
1270;1649,2263,2958
1274;832,2319,2943,3046
1277;1935,2360,3020,3846
1280;1600,2039,2416,2887
1281;456,1348,3323
1282;652,1447,2250
1284;3717,4151
1286;2136,3913
1301;1704,3374,4094
1305;60,2023,2385,2885
1307;1421,2967
1309;1026,1644,3868
1312;2235,2529,2960,3477
1314;2485,3604
1317;943,2014,2381,3670
1325;2476,2678,3472
1328;326,1191
1330;1790,1858,4311
1334;454,625,2643,3651
1337;909,3359,4263,4275
1338;611,1560,3924
1339;1262,4042
1340;1506,2361
1352;2894,3814
1358;126,342,1500
1363;2030,2147
1366;2753,2988
1368;209,301,1811,3138
1369;740,846,3505
1370;335,2071,3157
1376;393,1153,2088,2355
1379;143,604,1715
1380;1931,3901
1381;1497,2659,3358
1384;4,3436
1394;1134,2610
1395;364,588,2102,2328
1396;2321,2933
1401;62,841,1994
1402;659,2377,2685,2889
1414;1923,1974,3830
1418;347,1854,4226
1422;561,1229
1425;495,2760,3508
1450;3144,3236
1455;100,2427,4251
1456;345,2207,2239
1463;372,968
1470;853,1148
1472;685,920
1476;729,4308
1482;131,312
1483;2592,2841,3199,3956
1486;1527,2494
1487;1394,1655
1490;1126,1918,2413,2947
1492;791,1678
1506;711,916,2270,3523
1509;810,1805,1933
1510;1130,3317,3563,3739
1511;1157,1922,2546
1514;83,1835,2032,2834
1527;21,1801
1535;2859,3625,3686
1546;315,341
1550;254,428,1519,2612
1558;2106,3034,3822
1570;419,1949,2601
1574;554,1671,3618
1579;1766,2141,2359,3123
1582;224,1717,4173
1595;2131,2938
1597;344,594,2278
1598;1631,3537
1599;564,1243,2189,3770
1603;2726,2956,3647
1605;2531,4241
1614;2338,2935,3434,3747
1622;670,2538,3244
1631;151,910,2201,4296
1638;172,253,390,3461
1641;726,1215,1615,3058
1642;1002,1404
1647;184,763,1729,3407
1649;384,2523,3448
1668;986,1627,3080,3769
1669;211,3985
1676;278,1470,1970,3953
1681;1985,3796
1683;1210,3937
1684;2314,3049,3115
1686;128,881
1687;422,471,2702,2737
1690;283,492,780,1578
1695;3416,4313
1699;3288,3340,3973
1700;249,2867,4168
1707;861,1284,3454,3715
1708;691,833,866,1685
1710;296,2853,3827,4272
1717;1395,1651,2521,3926
1726;2370,3572,4227
1730;1551,1866,2972
1738;807,1962,4152
1747;2208,2356,3617
1749;394,1358,1757
1750;163,2858,3106,4262
1766;158,2281,2852,3220
1769;929,2428
1773;429,845,1900,2369
1777;407,469,613,1958
1778;28,1814
1787;1233,2544,3100
1793;35,683,3166
1799;1269,1418,2303
1801;79,967
1804;243,737
1808;1567,2712
1813;1183,1402,3266,4250
1814;2707,3136,3688,4194
1821;575,3390
1827;687,703,1342,2285
1828;216,1926
1829;327,2581,2870
1830;1980,2622,2756,3094
1831;388,1663,4130
1835;1943,2203
1836;767,1273
1848;2764,3169,3825
1853;831,2076,2322,4153
1858;416,1623,1664,3211
1860;1548,2213,2654
1861;1828,2041,2927,3507
1862;352,1245
1865;1367,1533,2912
1870;721,869,1818,2694
1873;565,903,2302
1874;859,1325,3274
1882;1371,2112,3256
1897;1863,2817,3581
1898;864,3922
1899;1140,1496,4075,4246
1902;739,2784,3177,3855
1906;2018,3065,4074
1912;597,1929,2365,2617
1917;1117,1341
1918;2295,2562
1919;860,1131,1886
1921;134,1110,2185,2767
1934;112,164,2651
1935;1791,3357
1946;432,2647,3698,4098
1947;811,3112
1948;782,1692,2827
1949;2231,3235,3682,4109
1952;80,1189
1958;102,2320
1966;863,2941,3757,4237
1971;434,2375
1983;3809,4181
1985;177,1141,3808,3994
1993;2111,3596
1995;115,1216,1849
1998;689,2809,4021
2000;228,1355,3250
2018;1046,3573,4220
2020;2065,3350
2021;1199,1838,2903
2023;1555,1907,2725
2025;618,3427,3946,4175
2026;1252,1964
2028;2698,4221
2029;65,730
2032;67,2572,3914
2039;202,1443,3580,3696
2042;2345,2751
2043;2713,3693
2045;1697,2144,3200
2047;733,1746,3284
2055;1293,2198,2904,3897
2057;1044,2549,3482
2069;612,764,2880,2913
2070;677,3270,3661
2072;2166,2279,3527,3807
2073;1780,1996,2923
2074;1005,2588
2080;190,1407,1769
2082;2344,3259,3874
2088;522,1398,2411,2765
2097;1,338,1643,4083
2100;814,1411,3089,3542
2101;1954,4206
2102;3062,3281
2107;116,805,1071,1910
2119;406,3015,3216
2122;883,3050,3181,3453
2127;23,1384,2995,4038
2128;654,901,3978
2132;1266,1376,3833
2139;2436,3171,3194
2147;114,3052,3610,4124
2154;380,3648,3988
2173;187,582,3605
2174;3414,4116
2175;3843,3934,4085
2185;553,855,3315
2191;2869,3921
2213;521,2836,3577
2216;890,2781,3704
2218;2957,4118
2219;300,1742,2289,2835
2226;332,1733,2579
2239;2084,4080
2245;1059,1522
2250;2407,2558,2746,4280
2257;121,466,2803
2270;2129,2547
2271;576,1723,3842
2287;487,2389,4185
2288;2750,3245
2291;2535,3116,3290
2293;290,857,3122,3965
2295;2754,2823
2297;37,679,867
2299;1255,2901,3353,4207
2305;761,1061,2133
2306;271,2105
2311;789,1670,2101,3905
2312;1385,2900,3184
2314;3066,3701
2322;1772,2367
2344;915,1013,1938,3150
2349;1908,3160,4182,4228
2351;715,2695,4157
2353;2864,3367,3866
2356;1208,1720
2357;242,1401
2359;560,2028,3057,3375
2366;1363,2077,3524
2367;1276,2597,2985,4055
2369;854,921,3961,4305
2370;825,1442,1716
2371;2033,2121
2373;2244,2790,3765,3840
2384;82,1274,1961
2387;1349,2513,2774,2910
2393;2664,3252
2411;3059,3267
2416;816,1986,2352,2443
2420;250,1853,1956
2424;1521,1841,1860,2716
2434;3388,4248
2452;2348,2946
2456;1549,2216,2762,4020
2461;33,1480,2802
2471;532,3188
2472;599,2228,3471
2473;592,837,1412,3045
2476;1387,3007,4139
2479;2441,3321
2485;2309,3028,3430
2492;4093,4112
2498;509,2380,2833
2502;1761,2528,3856
2503;218,744,3421
2505;2638,2697
2510;954,1164,3230,4068
2517;1990,2882,2939,3776
2525;1593,3154,3538,4028
2527;1020,2604,3446
2529;182,3053
2530;49,1318
2539;2657,4183
2541;996,1698,3635,4204
2542;421,1764,4260
2544;551,614,2559
2546;1319,2780,3535
2550;1068,1881,2098,2122
2558;181,1539,2062,2605
2560;3291,3662
2566;2073,2256,2785,3613
2575;1292,1295,3857
2583;207,600,1331,3330
2584;1526,3012
2586;8,693
2592;1351,3006,3543,3754
2594;1437,1896,1903,4019
2596;378,3304,4205
2599;2261,3587
2601;473,785,2075,3299
2619;3095,3831
2626;536,2069,2602,3540
2627;59,2881,4171
2631;3609,3687
2643;38,1422,2118,3117
2646;738,1473,2690
2652;669,3002
2656;1897,3486,3702
2664;2478,4196
2667;3355,3918
2670;462,4216
2683;477,977,2874,2945
2687;507,747,1792,2540
2691;2633,3158,3392,3412
2692;2425,2582
2693;946,1127
2696;1991,2797
2697;329,1219,2652,4141
2705;503,1507,2072
2711;1226,1472,2520,3762
2722;2600,2741,3030
2725;2721,3510,3624
2726;328,753,880,3713
2727;1520,3016,3445
2737;233,2503,3155,3773
2742;886,1483,1486,2527
2748;1523,3097
2765;201,1932,3909
2769;1316,2603,3594
2773;1848,3685
2775;1695,4029
2781;195,1022,1681,2810
2783;1332,2961,3313
2784;2700,4032
2785;1280,1310,2450,3835
2786;1182,2269,2821
2813;792,2487,3428,4293
2818;366,809
2822;961,1271,3279
2826;2543,2953
2827;1087,3011,3344
2833;1163,1306,3778
2835;1502,2733,4091
2839;1620,2090
2844;609,1702,2082,2517
2847;574,2625,3606
2848;45,368
2849;2168,3676
2854;1694,2229,2382,4230
2856;966,2537,3567
2860;1987,3202,4291
2866;776,949,1673
2875;2729,3000,3565,3755
2896;1042,1207,2399
2897;787,3329,3520
2901;18,1636,4314
2903;735,2107,4079
2906;876,2584,3294
2910;1067,1646
2916;178,3668
2922;826,1232,2634,3013
2924;950,1021,1967
2927;397,1482,2978
2928;605,924,1573,2840
2931;240,1285,2292,3555
2938;346,2176,2236
2940;1016,2214,2276
2945;906,3692
2946;665,1334,1820,2929
2956;168,1062,1425,2808
2960;16,842,3368
2964;1982,2045,3885,4306
2971;1669,2734,3174,3753
2972;2406,3325
2986;546,963,3293
2990;2064,3723
2998;1142,3709
